datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1997-10-01,1021962.2775000002,1706370.0155000004,587547.4090000001,955181.1640000006,563220.4179999998,1770903.7014999993,431956.04549999983,3366063.574999997,324511.10950000037,2736508.587,1292542.8314999999,115.04580774307252,227.97887573242187,565.3876064300537,315.2971446990967,29.755004462870442,37.16335310810857,52.14832798619474,14.249106490800028,15.450997333453724,15.95560085137322,20.935543005395882,22.649890469542758,23.103376529887704,7.562669990170093,8.25210417220773,8.807825168441758,2873.1238794904702,697.0124474008396,2257.956592859258,5127.472525464227,2703.078067799903,3570.086963396631,19788.79439412438,15886.97487594639,4513.480574943868,3078.0275225696228,3901.8195181779947,1207.3137996376422,76.03128858416588
1998-10-01,919224.5020000001,1570221.2865000004,526343.986,839011.6305000006,507936.5664999999,1617690.9524999994,393510.83499999985,3118850.4399999967,292991.1740000003,2540638.2545,1200122.2974999999,102.38488512039184,200.5765251159668,497.4297794342041,289.10619621276857,28.799024453625112,35.463961932525784,49.54419397325597,14.268728409307665,15.47693911402457,15.983986465587098,20.976425193514366,22.709271290940613,23.176387493366835,7.56103163213095,8.244606912465443,8.791585441374496,2872.8497440458164,689.9071719570973,2254.3661569436963,4909.25033301076,2551.0620668379393,3381.106674384538,18227.77936482257,14400.669856091034,4644.745470135052,3164.342532431127,3827.1095087315452,1278.7347655554036,76.60064052744436
1999-10-01,1004005.9355,1689889.8675000004,575478.768,904926.1750000005,552656.1605,1736314.4379999996,425823.60399999993,3332715.418499997,320229.8210000003,2713855.3364999997,1275895.8244999996,116.7063889503479,224.1728801727295,555.9487365722656,313.3601078033447,29.564391918920666,36.712039403294895,51.779554502840924,14.291279637593842,15.496230100567715,16.01852266628375,20.984363719018468,22.701558176213876,23.174390225232052,7.598195564477104,8.290901992776998,8.862655113471096,2860.8412686703064,688.8067177859359,2251.0615954268897,5099.881881117248,2673.224491244252,3490.0173426837086,19780.74335450916,15890.321698006755,4504.015006547854,3058.986430016549,3890.421656502412,1204.8736971074877,76.09516321735659
2000-10-01,1073847.3369999998,1767086.7125000004,618918.6,983909.9245000007,587052.3984999999,1812850.985999999,448724.33099999995,3483635.1224999973,340620.7835000003,2832892.382,1325452.7224999997,122.2209168434143,234.8734935760498,582.4862579345703,324.945666885376,30.359298899018548,37.741797235267676,53.32304261861003,14.276374844401172,15.475722567050113,16.00559458386335,20.95666919813347,22.6665732453132,23.145549129542832,7.596080495729889,8.284871856257697,8.865640045146227,2873.2693911426372,689.5375462995701,2271.6749839850486,5377.830722296349,2781.5713230366755,3682.548817251906,21026.837672135494,17048.928449056035,4466.3542517424185,3069.4080831024103,3977.9092230794713,1195.892496754786,75.66063824220481
2001-10-01,1019702.7795,1689599.4445000004,584351.203,925371.3000000007,558571.2749999999,1734051.075999999,428138.3345,3358922.3884999976,322866.3510000004,2736820.5330000003,1274527.6929999997,118.66817779541016,224.6886058807373,557.2277369499207,310.88001518249513,29.858982378963894,36.89466163054908,51.999879955564474,14.380868682842413,15.582529418610232,16.108713078269485,21.068514404204723,22.79047050948025,23.264545020944045,7.693222962670385,8.37458829387514,8.952881140062878,2845.6430403782347,681.9825987125216,2243.1096707006714,5247.836503766381,2701.8914970494448,3601.8894914835205,20106.492226195256,16203.24837398253,4584.876158900353,3143.9155037163064,3903.2438522127413,1259.5344364102652,76.19252560115011
2002-10-01,1032342.983,1722893.4540000004,591476.2655,922189.1010000007,567238.1185,1789674.1469999992,435458.7699999999,3493420.7554999976,329695.6070000003,2842465.2925,1303226.5794999998,128.01123561859131,240.78104934692382,597.1369959831238,326.38243942260743,30.114317720160575,37.19819562699785,52.2862403994572,14.413612516335087,15.627347908710874,16.161508282699895,21.115977415791225,22.84548557694657,23.33294091396258,7.711247621078297,8.409210209107837,8.99007566226469,2825.549944484455,678.7114265158746,2222.469790716331,5432.227958951267,2724.700602563385,3664.2453280092145,21062.02379898943,17106.965546431114,4549.684510527873,3124.6616568898216,3955.058252558328,1252.697107745906,75.81787332713276
2003-10-01,973380.0785000001,1614246.9960000005,556434.3230000001,850029.4370000005,534102.5374999999,1645155.4929999993,409245.62349999987,3290391.4859999977,308348.2575000003,2686117.8475,1216796.4414999997,113.68053455352783,214.47192764282227,531.89037733078,294.73369522094725,29.473957555894337,35.81961166998762,50.557459350992055,14.526755275876948,15.736002963382713,16.26849803614646,21.25362222574035,22.979809350728026,23.461398564879406,7.799888331470174,8.492196549175528,9.075597519026264,2752.863149534725,677.7739696245033,2172.8675737138774,5196.767465409646,2606.983820445378,3472.9676513819977,19847.821251354526,16014.735246181643,4703.567444551879,3218.4794587908877,3833.0860051728946,1318.1064847168886,76.37603297453379
2004-10-01,1007325.575,1647379.6290000004,578736.6270000001,894015.1205000005,550601.3439999999,1667205.1939999992,419798.7044999999,3298881.812499997,316651.3300000003,2687534.6885,1233018.6634999998,107.6991798400879,208.43100814819337,516.908899974823,291.6916633605957,29.50083972146718,36.06900927815708,51.164421665799466,14.55350322216707,15.74897899037499,16.275780229147465,21.26757291115,22.96613537591355,23.44138486580509,7.839433534959108,8.531822576189226,9.11017559993485,2728.8281459236596,677.5174609771643,2153.7074109198415,5101.655313695601,2638.624429322119,3436.7503073671905,19920.181079878024,16089.953288973877,4693.724957024255,3206.845753231709,3830.2277909041595,1316.6876051074755,76.31342077663939
2005-10-01,1034719.9225000001,1710939.454500001,592149.4415000001,910864.5900000005,569673.0425,1746104.4949999996,435098.3619999999,3393808.7909999983,329366.7440000003,2758571.873,1281131.8189999997,104.15903549194336,204.36628189086915,506.8283762931824,293.6113639831543,29.980038087988625,37.03425491778384,52.404727507335565,14.568925141790231,15.764801591602003,16.288736392197844,21.27705099354558,22.97656277479115,23.447291712230395,7.860799289497872,8.553040385656969,9.130181077246016,2780.3983401714872,677.4282858044901,2206.5588946815033,5202.973733339765,2709.328356218376,3538.152660924018,20759.059526539204,16829.95128137719,4616.705201744441,3153.0824952011285,3929.1082451620255,1246.2512046844058,75.88666536134103
2006-10-01,1067073.272,1759006.8590000006,610135.4240000001,937641.2275000006,587260.6024999999,1783496.1029999997,449104.826,3467222.724499998,339836.78150000033,2820164.164,1314245.2224999997,103.50768508911133,204.10950660705566,506.19157361984253,296.41307640075684,30.423645703519423,37.60511980725241,53.34349015001993,14.591815553019805,15.788267343881108,16.312076802575728,21.27937427808667,22.9782833229898,23.446519112056443,7.904256825093748,8.598251344039161,9.177634501168209,2850.522778538065,693.9024722334595,2257.193425235208,5284.487099410519,2743.268710955937,3635.93017093849,21110.97043744635,17038.111736709223,4575.889845463258,3208.6352754808295,4072.858700737138,1216.6516202609932,75.21098146769238
