,0
31,-0.1401935874515895
32,-0.1405739998361012
33,-0.0789433506265661
34,-0.05170498790538469
35,-0.07485063635424638
36,-0.07485063635424638
37,-0.0923242947801336
38,-0.06105761133536536
39,-0.05267170436775703
40,-0.06772479223468753
41,-0.08025484082832857
42,-0.07987442844381687
43,-0.0658723497517858
44,-0.04895691113003264
45,-0.006584683622078313
46,-0.04847301597726572
47,-0.035733803191382085
48,0.010391376805194086
49,-0.008620658938973347
50,-0.054708604975992836
51,-0.0786824879697714
52,-0.06383097736458565
53,-0.0862881265322708
54,-0.11180943365092799
55,-0.10059510443357111
56,-0.07988730309321634
57,-0.0753737446532734
58,-0.0931064287904696
59,-0.0730004688051078
60,-0.031026093827558276
61,0.018007886353502367
62,-0.02111483231582789
63,0.014057527017616755
64,0.009107144832480207
65,-0.021693079971936036
66,0.030531559883616444
67,0.006487987463633771
68,-0.03495348811003718
69,-0.00308310328169481
70,0.04197638780188484
71,0.061116742511426514
72,0.08538795057557103
73,0.05373289676797277
74,0.08038844336385709
75,0.11610868851645872
76,0.08460636947711442
77,0.07495366821248894
78,0.06961018024703991
0,-0.0034762610976477593
1,-0.0034762610976477593
2,-0.0034762610976477593
3,-0.0034762610976477593
4,-0.0034762610976477593
5,0.04228625825002341
6,0.04228625825002341
7,0.010191916826840175
8,0.009517749696514644
9,0.02408863937494743
10,0.02408863937494743
11,0.02408863937494743
12,0.02408863937494743
13,0.02408863937494743
14,0.02408863937494743
15,-0.021673879972723964
16,-0.021673879972723964
17,-0.060031009734828
18,-0.0537849709195336
19,-0.06835586059796639
20,-0.07843526928395406
21,-0.07843526928395406
22,-0.0891488904454476
23,-0.11899268783048822
24,-0.11899268783048822
25,-0.11899268783048822
26,-0.14428762600600453
27,-0.04174181339753402
28,-0.039686995756881616
29,-0.039686995756881616
30,-0.03027270642375146
31,-0.03876965856479542
32,-0.03098082165719407
33,-0.01812126473362763
34,-0.01812126473362763
35,-0.01812126473362763
36,-0.03520925345119008
37,-0.05754013651401213
38,-0.060309914231658546
39,-0.060309914231658546
40,-0.054307520914702034
41,-0.04581056877365797
42,-0.03217216335827222
43,0.01465587448824246
44,0.006818607103325269
45,0.0038657068999835564
46,0.03368709878960907
47,-0.0022889629301019454
48,-0.030002306436122894
49,-0.0522469443311232
50,-0.06799118865648346
51,-0.06950239519390045
52,-0.0772912321015018
53,-0.10477888124747559
54,-0.1631104424350147
55,-0.21258006869919843
56,-0.16852595234990253
57,-0.0816253361656264
58,-0.05529264316993254
59,-0.033048005274932235
60,-0.031001252251118383
61,-0.029490045713701396
62,-0.032414829967593595
63,-0.05215037300163161
64,-0.029393694261650616
65,0.0209418113964982
66,0.027305703229625444
67,-0.007169706235950812
68,0.010588957718983827
69,0.026270732813566622
70,0.022951844944288147
71,0.03296000362274909
72,0.023902926118910983
73,0.05591041313628964
74,0.16549139154122128
75,0.20883886846385824
76,0.1818727408321248
77,0.15566013747277474
78,0.1379014735178401
0,-0.05820424274007363
1,-0.05820424274007363
2,-0.05820424274007363
3,-0.05820424274007363
4,-0.06690848252275117
5,-0.051712375687119616
6,-0.010208173147374988
7,0.019916042108643395
8,0.016768100956427
9,0.02062608984322234
10,0.02062608984322234
11,0.02062608984322234
12,0.02062608984322234
13,-0.009817002506997574
14,-0.005652446525020616
15,-0.047969196127020886
16,-0.06502120426348401
17,-0.024980677544992447
